severity_threshold,feature_set,model_variant,cutoff_method,probability_cutoff,split,train_failure_rate,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,AP,TN,FP,FN,TP,actual_failure_rate,predicted_failure_rate,always_normal_accuracy,rows
10,original_features,balanced,validation_F1,0.4,Test,0.21305483028720626,0.4351515151515152,0.2544229149115417,0.8653295128939829,0.3932291666666667,0.6468839266246594,0.29337432699901167,0.29560321165715964,416,885,47,302,0.21151515151515152,0.7193939393939394,0.7884848484848485,1650
11,original_features,default,fixed_0.5,0.5,Validation,0.1569190600522193,0.8536585365853658,0.4,0.008368200836820083,0.01639344262295082,0.6376407766120433,0.22877673935105347,0.2308317830964102,1398,3,237,2,0.14573170731707316,0.003048780487804878,0.8542682926829268,1640
11,original_features,default,validation_F1,0.15,Validation,0.1569190600522193,0.5823170731707317,0.20266666666666666,0.6359832635983264,0.30738119312436807,0.6376407766120433,0.22877673935105347,0.2308317830964102,803,598,87,152,0.14573170731707316,0.4573170731707317,0.8542682926829268,1640
11,original_features,default,fixed_0.5,0.5,Test,0.1569190600522193,0.8490909090909091,0.0,0.0,0.0,0.6439261686288337,0.22276385747261823,0.22493947457810548,1401,0,249,0,0.1509090909090909,0.0,0.8490909090909091,1650
11,original_features,default,validation_F1,0.15,Test,0.1569190600522193,0.5836363636363636,0.2072192513368984,0.6224899598393574,0.31093279839518556,0.6439261686288337,0.22276385747261823,0.22493947457810548,808,593,94,155,0.1509090909090909,0.4533333333333333,0.8490909090909091,1650
11,original_features,balanced,fixed_0.5,0.5,Validation,0.1569190600522193,0.6018292682926829,0.2076271186440678,0.6150627615062761,0.31045406546990495,0.6412425075932014,0.22363617210278117,0.22601814030955023,840,561,92,147,0.14573170731707316,0.4317073170731707,0.8542682926829268,1640
11,original_features,balanced,validation_F1,0.51,Validation,0.1569190600522193,0.6146341463414634,0.21313868613138687,0.6108786610878661,0.31601731601731603,0.6412425075932014,0.22363617210278117,0.22601814030955023,862,539,93,146,0.14573170731707316,0.4176829268292683,0.8542682926829268,1640
11,original_features,balanced,fixed_0.5,0.5,Test,0.1569190600522193,0.5963636363636363,0.21001390820584145,0.606425702811245,0.3119834710743802,0.6489512654472279,0.2164956436063437,0.21960314496738628,833,568,98,151,0.1509090909090909,0.43575757575757573,0.8490909090909091,1650
11,original_features,balanced,validation_F1,0.51,Test,0.1569190600522193,0.6054545454545455,0.21120689655172414,0.5903614457831325,0.3111111111111111,0.6489512654472279,0.2164956436063437,0.21960314496738628,852,549,102,147,0.1509090909090909,0.4218181818181818,0.8490909090909091,1650
12,original_features,default,fixed_0.5,0.5,Validation,0.12950391644908615,0.8810975609756098,0.5,0.010256410256410256,0.020100502512562814,0.6234264927690533,0.18889658194019643,0.1911058847017017,1443,2,193,2,0.11890243902439024,0.0024390243902439024,0.8810975609756098,1640
12,original_features,default,validation_F1,0.12,Validation,0.12950391644908615,0.5621951219512196,0.1590612777053455,0.6256410256410256,0.25363825363825365,0.6234264927690533,0.18889658194019643,0.1911058847017017,800,645,73,122,0.11890243902439024,0.4676829268292683,0.8810975609756098,1640
12,original_features,default,fixed_0.5,0.5,Test,0.12950391644908615,0.8836363636363637,0.0,0.0,0.0,0.6448902606310014,0.18050065879979815,0.18294509092628608,1458,0,192,0,0.11636363636363636,0.0,0.8836363636363637,1650
12,original_features,default,validation_F1,0.12,Test,0.12950391644908615,0.5721212121212121,0.16536458333333334,0.6614583333333334,0.26458333333333334,0.6448902606310014,0.18050065879979815,0.18294509092628608,817,641,65,127,0.11636363636363636,0.46545454545454545,0.8836363636363637,1650
